movie_title;release_month;release_year;genre;total_gross;inflation_adjusted_gross
The Lookout;March;2007;Drama;4600585;5637048
Underdog;August;2007;Adventure;43760605;53619462
Dan in Real Life;October;2007;Romantic Comedy;47642963;58350234
The Hoax;April;2007;Drama;7164995;8779196
Bridge to Terabithia;February;2007;Drama;82234139;100760721
The Game Plan;September;2007;Comedy;90648202;111010758
Meet the Robinsons;March;2007;Adventure;97822171;119860589
Goal! 2: Living the Dream...;August;2008;Drama;225067;264247
Morning Light;October;2008;Documentary;275093;322979
Bedtime Stories;December;2008;Comedy;110101975;128039679
Bolt;November;2008;Comedy;114053759;133702498
The Chronicles of Narnia: Prince Caspian;May;2008;Adventure;141621490;166277038
Swing Vote;August;2008;Comedy;16289867;19125841
WALL-E;June;2008;Adventure;223808164;262771918
College Road Trip;March;2008;Comedy;45610425;53550960
Step Up 2 the Streets;February;2008;Drama;58017783;68118371
Hannah Montana/Miley Cyrus: Best of B…;February;2008;Concert/Performance;65281781;76646993
Miracle at St. Anna;September;2008;Drama;7916887;9295171
High School Musical 3: Senior Year;October;2008;Musical;90559416;106308538
Beverly Hills Chihuahua;October;2008;Comedy;94514402;110932022
Walt and El Grupo;September;2009;Documentary;20521;23064
X Games 3D: The Movie;August;2009;Documentary;1391434;1563976
The Princess and the Frog;November;2009;Adventure;104400899;116316457
G-Force;July;2009;Adventure;119436770;134246932
Disney's A Christmas Carol;November;2009;Drama;137855863;154927105
Gake no ue no Ponyo;August;2009;Adventure;15090399;16961607
The Proposal;June;2009;Romantic Comedy;163958031;184288829
Up;May;2009;Adventure;293004164;329336681
Toy Story 3D Double Feature;October;2009;Adventure;30702446;34509545
Earth;April;2009;Documentary;32011576;35981010
Jonas Brothers: The 3D Concert Experi…;February;2009;Concert/Performance;38174685;38174685
Surrogates;September;2009;Action;38577772;43361416
Confessions of a Shopaholic;February;2009;Romantic Comedy;44277350;49767744
Old Dogs;November;2009;Comedy;49492060;55503929
Race to Witch Mountain;March;2009;Adventure;67172594;75501997
Hannah Montana the Movie;April;2009;Drama;79576189;89443640
Gedo Senki (Tales from Earthsea);August;2010;Adventure;48658;51988
Waking Sleeping Beauty;March;2010;Documentary;80741;86264
Tron: Legacy;December;2010;Adventure;172062763;183619259
Oceans;April;2010;Documentary;19422319;20751600
Tangled;November;2010;Adventure;200821936;214388548
You Again;September;2010;Comedy;25702053;27461121
When in Rome;January ;2010;Romantic Comedy;32680633;34917330
Alice in Wonderland;March;2010;Adventure;334191110;357063499
Toy Story 3;June;2010;Adventure;415004880;443408255
Step Up 3D;August;2010;Drama;42400223;45302137
Secretariat;October;2010;Drama;59699513;63781920
The Last Song;March;2010;Drama;62950384;67258772
The Sorcerer's Apprentice;July;2010;Adventure;63150991;67473105
Prince of Persia: Sands of Time;May;2010;Action;90759676;96971361
Zokkomon;April;2011;Adventure;2815;2984
Prom;April;2011;Comedy;10130219;10768946
African Cats;April;2011;Documentary;15428747;16401551
The Help;August;2011;Drama;169705587;180404976
Fright Night;August;2011;Horror;18298649;19452402
Cars 2;June;2011;Adventure;191450875;203522177
Mars Needs Moms;March;2011;Adventure;21392758;22741603
